Pinyin.Name,Chinese.Name,English.Name,Latin.Name,Ingredients
TANG MU XUN DU HUO,NA,Thomson cowparsnip*,Heracleum thomsoni,15945058|57459455
JIU LI XIANG,九里香,Common jasminorange equivalent plant:  murraya paniculata var exotica,Murraya paniculata  [syn.  chalcas paniculata],167963|10057860|13917407|3036428|76764423|68406|5319632|389001|5318050|500181|185670|72815|44257604|5316869|5316871|6208|74711|5316872|3084412|5319433|345512|26183437|12306048|22311|11095734|633619|14896|14|11|10|5315354|14|11|5315364|26049|14350|101977|6999975|176911|6918110|14|11|375144|11742872|440917|20|19|5316516|5316696|11968426|181514|3314|21972505|389000|14|11|5317308|107936|643820|24832062|5317952|56841078|53630757|440988|5318396|10212|442977|12444349|473252|19543|4465807|20|5319214|821433|10282712|11378589|49791725|24832075|331548|17|5140086|92154813|5319957|179620|5319956|5319958|78385338|12|18|638195|621354|20|21770913|5319964|56840967|6325047|5479541|101222|5320199|25127519|10228|5357655|44257269|11968822|14285091|16441|369312|9874859|5320515|7163183|11665448|11155643|5280460|11953803|1152279|145659|6760|320361|180297|11816951|126009|11422434|440967|18502770|5452236|13983766|122667|82227|91746456|14|11|10|102235879|181910|134715408|20|19|101858017|30248|5705531|7127|14|11|101324894|8130|114840|5363523|20|375143|5070783|122361330|8635|4133|134688330|5319827|17|442282|96942|13917412|145453480|6921840|169419|14463159|188300|193876|442495|10672073|439514|134755932|99693|493376|821434|10819|637566|14|11|10|77994099|157539|357293|442461|16667688|155569|5281420|91354|20|19|10086100|10290825|441866|26183438|14|11|101820921|40488241|26116438|821399|92154811|5280462|13917405|44258049|14166403|14070748|14193918|3318|4134|6210|6761|7132|8132|8640|9019|10213|10229|10820|14900|16449|22316|22968|25736|91371|99708|114842|122668|126012|145681|185680|345552|439264|439516|440918|442501|637568|1549041|5280473|5280656|5281425|5320203|6918113|24832077
DA QIAN HU,NA,Big hogfennel*,Peucedanum grande,3055167|5315583|10211|10212
BU DENG HONG HOU KE,NA,Disparate beautyleaf*,Calophyllum dispar,11037550|10047855|10250877|10045800|6483316|10993540
NIU HAO,NA,Taurine wormwood*,Artemisia taurica,94253|9816345|619337|211707|211935
SHAO HUA RUI MU,NA,Fewflower kopsia*,Kopsia pauciflora,11|8|23|44326294|8|20|10552945
HONG MAO YE HAI TANG,NA,Tuberculate bredia,Bredia tuberculata,59|58|44575176|22|16130310|23|16130320
ZHI ZI HUA GEN,栀子花根,Gardenia jasminoides ellis,NA,25244519|45358128|5281232|137706142|10|19|107849|5281233
NAN TIAN ZHU GEN,NA,Common nandina root,Nandina domestica,20|8|327412|5316960|5319602|20|8|5319999|8|20|261619|24893882|20|8|197001|20|8|164611|20|8|3084902|8|20|12313091|118701206|441749|15|7|164612
E JIAO,阿胶,Donkey hide gelatin,Colla corii asini,6995104|49786167|11378574|6322|498056|5962|33032|23925|876|5960|6274|6140|5462222|5460341|602|6287|6288|750|23978|5462224|23994|5359268|5360545|5352425|23932|6306|5359327|145742|6106|23930|935|5963|6275|6323
MU JING JING,牡荆根,Root of hempleaf negundo chastetree,NA,10058196|163040
XIAN XI SHU YU,NA,Thinnest ya m   u s e d  p a r t: rhizome,Dioscorea gracillima,68261|52931449|52931427|53486205|50989896|52931453|3480616|53384936|11968860|54609052|441892|441900|11798067|5321469|119245|137704703|225768|159861|6890|441891|134715195|138108501|101952|6891|68262|99477|11969440
AO YE RUI XIANG,NA,Retuseleaf daphne,Daphne retusa,158341|54719604|5280569|158348|5280570
YUN NAN HAN XIAO,NA,Yunnan michelia,Michelia yunnanensis,25171947|5316793|44559616|5316614|4473082|11972532|5320421|5320943|5320945|74426514|124463365|29408|482788|7251185|4473086|5320946
KUAI JING SHUI SU,NA,Chinese artichoke,Stachys tuberifera,448301|19706252|115244|24981346|439531|115245|439533
XIA ZHI CAO,NA,Lagopsis,Lagopsis supina,44257858|5319457
CHUAN E YIN YANG HUO,NA,Farges epimedium,Epimedium fargesii,5316595|11765972|44259062|53486248|44259076|5318837|44258784|5748393|137705275|87759921|137705382|5748394|13964061
HAN SHENG XIANG CHA CAI,NA,Dry-living rabdosia,Isodon xerophilus,102587877|10046926|44445758|44445757|44445773|44445767|44445775|23626808|44445779|11729514|10092741|11057179|11133622|10971529|5315343|102117145|102587878|70697982|9975895|137705603|139031635|70698015|102587876|10360382|636910|457901|10046803|91895323
PI JIU HUA TU SI ZI,NA,Hop-shaped dodder,Cuscuta lupuliformis,25202062|46906036|5280343|5280344|5280865
QIAN LING YIN YANG HUO,NA,Thin-rhizome epimedium,Epimedium leptorrhizum,53486248|137705275|5748394
TIE KUAI ZI,NA,Tibetan hellebore,Helleborus thibetanus,632395|10439890|267436|131676378|417553
E ZHANG CAO,NA,Flaccid anemone,Anemone flaccida,6453932|253959
YU GAN YOU,鱼肝油,Fish liver oil,Oleum fecoris piscis,56605412|14|19|72616|7059
JIA NA LI MEI DENG MU,NA,Canari mayten*,Maytenus canariensis,10342107|10410773|10004662|441687|159516|101520|14|11|8|21|22|101523|159525
ZHAI YE YE WAN DOU,NA,Narrowleaf vetch,Vicia angustifolia,6451290|656493|5484066
SHU LI,鼠李,Davurian buckthorn,Rhamnus davurica,10207|24867638|5315852|25201450|122635|25202062|6603986|10208|3220|5281847|5318717|3221|10209|122636|5280865|5281854
MAO GUO YANG,NA,Black cottonwood,Populus trichocarpa,442989|44562757|102515163|20809
MI HUA MEI DENG MU,NA,Crown-flowered mayten,Maytenus confertiflorus,12311357|26|54610538|26|54604312|26|101306858|26|101529024|26|6438455|26|5281828|5281832
MEI LI YE HUI MAO DOU,NA,Beautiful-leaf tephrosia*,Tephrosia calophylla,44258797|13|10|20|11013898|13963771|5282102|5282105
XIAO MAO XIANG,NA,NA,NA,892|893
DU HONG HUA,NA,Taiwan beautyberry equivalent plant:  callicarpa japonica,Callicarpa formosana,97332|90474101
BAO GAI LING ZHI,NA,Cape ganoderma,Ganoderma capense,131594|126543|131592|191010|5317519|131601
SHI QI,NA,Immature persimmon fruit juice,Diospyros kaki,187|189
DA FENG ZI,NA,Chaulmoogratree seed,Hydnocarpus anthelminticus,5318115|5282852|5282854|5282853|441446|596375|92146107|110680|13270010|6713033|5280489|75142|12302887|5280666|134692185|323|5742590|91895377|5280536|370|138991573|51351687|10093995|892|38|37|36|35|10348927|14167345|51402807|5281671|101280156|8|118701648|190453|49867939|5280343|101320300|5281426|1183|52940117|53399184|46906036|11973225|57339948|155486958|12468617|45358955|25202062|312089|10131135|51035411|21582571|11389509|5281617|11972353|23|19|16129738|10889|8|495296|25201972|19|73179|596718|5282857|100000573|100000323|100001183
GAN LAN REN,橄榄仁,Semen canarii albi,NA,6365309|11252659|5282822|18413781|5280934|3893|985|987|3894|5280936|5282824
ZHONG JIAN HE SHI,NA,Intermediate stickseed,Lappula intermedia,6325507|44585564|138112573|101306857|5281735|429192
