CID,IsomericSMILES
21637585,C1[C@H]([C@@H](OC(=O)C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(=O)O1)O)O)O)O)O)O)[C@@H]([C@H](C(=O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O
52931511,CC1[C@@H](C([C@H]([C@@H](O1)O[C@H]2[C@@H](C([C@@H](OC2CO)O[C@H]3CC[C@@]4([C@H]5CC[C@]6([C@H]([C@@H]5CC=C4C3)CC[C@@H]6C(=O)C)C)C)O)O)O)O)O
14440597,COC1=CC(=CC(=C1/C=C/C(=O)C2=CC=CC=C2)O)O
13143,CC(=C)C(=O)C
11568293,C[C@]12CCC(=O)C([C@@H]1[C@H]([C@@H]([C@@]3([C@@H]2CC(=C)[C@]([C@H]3C(=O)OC)(C)C(=O)OC)C)O)O)(C)C
5311364,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C
44566944,C1[C@@H]([C@@H](OC2=C1C(=CC3=C2[C@@H]4[C@H]([C@](O3)(OC5=CC(=CC(=C45)O)O)C6=CC(=C(C=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)O
6326131,CC(=O)O[C@H]1C[C@@H](C(=C)[C@@H]2[C@@]1([C@H]([C@@H]([C@]3([C@]4(C(=O)C[C@@H]([C@H]2OC(=O)C)C3(CO4)C)C)O)OC(=O)C)OC(=O)C)CO)OC(=O)/C=C/C5=CC=CC=C5
12766,C1CCCC(CCC1)O
10877278,C[C@H](CC=O)C1=CC=CC=C1
5315127,CC(=CCC1=C(C(=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O)O)C
162395,CC(=O)O[C@@H]1C[C@H]2C[C@@H](C1=C)C2(C)C
5316995,CC(C)C(=C)CCC(C)[C@H]1CCC2([C@@]1(CCC3=C2CCC4[C@@]3(CC[C@@H](C4(C)C)OC(=O)C)C)C)C
95789921,CC1=CC(=O)CC([C@@H]1CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)(C)C
100935372,C1[C@@H]([C@@H](C(=O)O1)C(C2=CC3=C(C=C2)OCO3)O)CC4=CC5=C(C=C4O)OCO5
91747167,CC1=CC[C@@]2(CC[C@]([C@@H]2[C@H](C1)OC(=O)C3=CC=C(C=C3)O)(C(C)C)O)C
9548619,C=CCC/C(=N\OS(=O)(=O)[O-])/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
101729,C[C@H](CC[C@H](C)C(=C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C
14605585,C[C@]12CCC(=O)[C@H]1CC[C@@]3([C@@H]2CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CCCC5(C)C)C)C)C
11968856,C[C@]12CC[C@@H]([C@@](C1CC[C@@]3(C2C=CC4=C5CC(CC[C@@]5(C(CC43C)O)CO)(C)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@H](CO6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O
69988,COC1=C(C=CC(=C1)O)O
11968921,C[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O[C@@H]3CO[C@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H]([C@@H](O[C@@H]([C@@H]4O)O[C@@H]5[C@H]([C@H](COC5OC(=O)[C@]67CCC(CC6C8=CCC9[C@]1(CC[C@@H]([C@](C1CC[C@]9(C8(CC7)C)C)(C)CO)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)C)(C)C)O)O)C)O)O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O)O)O)O)O
5318050,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)C3=C(O2)C(=C(C=C3OC)OC)OC)OC
11968767,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](CO[C@H]2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(CO)C(=O)OC)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O[C@H]1[C@@H](C(CO1)(CO)O)O)O
131162,CC1=C(C(=C(C(=C1O)C(=O)CCC2=CC=CC=C2)OC)C)O
101127100,C[C@@]12CCC(=O)[C@@]([C@@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)(C)CO
13965088,CCC/C=C\1/C2=C([C@@H]([C@@H](CC2)O)O)C(=O)O1
5352000,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O
16217,CCCCCCCCCCCCCCN
137705248,C[C@@]12CC[C@H]3[C@]4(C=CC(=O)C(C4=C(C(=O)[C@]3([C@@]15[C@H](O5)CC2C6=COC=C6)C)O)(C)C)C
101666685,CC1(C=CC2=C(C=CC(=C2O1)C3CC4=C(C=C(C=C4)O)OC3)OC)C
5320957,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C5=C(C(=CC=C5)O)C(=O)C6=C4C=C(C=C6O)C(=O)O)C=C(C=C3O)O
101297613,C[C@@H]1[C@H]2[C@@H](CC1=O)C(=C)C[C@@H]([C@@H]3[C@@H]2OC(=O)[C@H]3C)O
340212,COC1=CC(=C(C=C1[C@H](C=C)C2=CC=CC=C2O)OC)OC
46883405,CC1([C@H](C[C@H]2[C@]3([C@@H]1[C@@H](OC3=O)O)[C@@H]4[C@@H](C[C@@H]5C[C@]4([C@@H](C5=C)O)C(=O)O2)O)O)C
1550888,C1=CC=C(C=C1)/C=C/COC(=O)/C=C\C2=CC=CC=C2
15847196,C1C(C=CC(=C1O)O)/C=C/C(=O)O
21626534,CC1=CC[C@@H]2[C@@]([C@H]1CC[C@H]3C(=CC[C@@H]4[C@@]3(CCCC4(C)C)C)C)(CCCC2(C)C)C
24883966,CC1(C([C@H]([C@]2(C1C(OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O
101741814,CCCCCCCCCCCCCCCCC/C=C(\[C@H](C(=O)C)O)/C(=O)OC
3016081,CC(C)(C1=CC(=CC(=C1)OC)OC)O
441789,C[C@H]1[C@@H]2C[C@@H]3[C@@]45CO[C@@]([C@@H]4[C@H](C(=O)O3)OC(=O)C=C(C)C)([C@H]([C@@H]([C@@H]5[C@]2(C=C(C1=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)O)C(=O)OC
78577438,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@@H]2C/C=C/3\C=COC3=O)(C)CO)O
101712262,C[C@@H]1CC[C@@]2([C@@H](C[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)OC)C)C)[C@@H]2C1=C)C(=O)O)O)C(=O)O
9863,[C-]#[Si+]
131752151,CC1=CC2=C(C(=CC=C2)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)O)C(=C1C(=O)C)O
52931447,C[C@H]1CO[C@]2([C@H]([C@H]3[C@@H](O2)C(=O)C4=C3CC[C@H]5[C@H]4CC=C6[C@@]5([C@@H](C[C@@H](C6)O)O)C)CO)C(C1O)O
608,C(C(C1C(C(C(=O)O1)O)O)O)O
15979,CC(C)CCCC(C)CCCC(C)CCCC(C)C
71458306,CC1(C=CC2=C(C3=C(C(=C2O1)C(C)(C)C=C)OC4=C(C3=O)C=CC(=C4OC)O)O)C
101650373,CC(=O)O[C@@H]1C[C@@H]([C@@]2([C@H]3CC[C@@]4([C@@H](CC=C4[C@@]3([C@@H](C5C2[C@@]1(CO5)C)OC(=O)/C=C/C6=CC=CC=C6)C)C7=COC=C7)C)C)OC(=O)C
6325021,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
5319832,CC1CC2C(C2(C)C)C3C=C([C@H]([C@]4(C1(C3=O)C=C([C@@H]4O)C)O)O)COC(=O)C5=CC=CC=C5NC(=O)C6=C(C(=CC=C6)O)NC(=O)C7=CC=CC=C7N(C)C
5491385,COC1=CC(=C2C(=C1)OC(=C(C2=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O)OC)O
21679027,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@]2(CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3[C@H]5[C@H](O5)[C@@]6([C@@]4(C(=O)C=CC6)C)O)C)O)C
11694896,CC1=CC2=C(C=C1O)[C@]3(CC[C@@H](C(C3=CC2=O)(C)C)O)C
126023,CCC1C2C3COC(C2O)C4(CC3N1)C5=CC=CC=C5N(C4=O)OC
145712279,CN1C[C@]2(C3CC4C5=NC6=CC=CC=C6C52CC1C3CO4)C=C
76960104,C/C(=C\CCC(C)(C=C)O)/C(=O)OC1C[C@H]2[C@H](C(OC=C2C(=O)O1)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)C=C
46883331,CC(=O)C1=C(C=C(C=C1)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@](CO3)(CO)O)O)O)O)O
107793,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O
101324866,C/C/1=C/CCC(=O)/C=C\C(CCC1)(C)C
100278,CC(=C)N1C2=CC=CC=C2NC1=O
70698266,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@H]6[C@]([C@@]5(C[C@H]4O)C)(CC[C@@H]7[C@@]6(C[C@@H]([C@@H](C7(CO)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O
5326948,CCCCCCC/C=C/CC=C
11338644,CC1=C[C@H]([C@@]2([C@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
111119,CN1CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)OC)O)OC
377386,CC(=O)O[C@H]1CC2CC3(C1C4([C@H](C([C@@H]3OC(=O)C)O)C([C@H](CC4OC(=O)C)O)(C)C)C)C(=O)C2=C
11173,CC(=CCO)C
101286241,C[C@H](CCC(=C)[C@@H](C)C(=O)O)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C
3013329,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@](O2)(CO)C#C.C1CN(C(=O)NC1O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O.C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
21672627,C[C@H]1[C@@H](C[C@@H]([C@]2([C@@H]1C3=CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C)O)C(=O)O
24846126,CC1CCC2(C(C3C(O2)CC4C3(C(=O)CC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(C(O9)CO)O)OC2C(C(C(C(O2)C)OC2C(C(C(C(O2)C)O)O)O)O)O)OC2C(C(C(CO2)O)O)O)O)O)O)O)C)C)C)OC1
21778051,CC(CCC1CC2=C(C(=CC(=C2)O)O)C(O1)(C)C)O
