drug-id,smile
C0000378,C1=CC(=C(C=C1[C@H]([C@@H](C(=O)O)N)O)O)O
C0000379,CC(CC1=CC2=C(C=C1)OCO2)N
C0000477,C1=CN=CC=C1N
C0000545,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
C0000578,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
C0000608,C(CCC(=O)O)CCN
C0000618,C1=NC2=C(N1)C(=S)N=CN2
C0000665,C1=CC2=C(C(=C1)O)N=CC=C2
C0000869,CC.CC.CC.CC.CC.CC
C0000946,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
C0000956,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
C0000959,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C
C0000970,CC(=O)NC1=CC=C(C=C1)O
C0000981,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
C0000983,CC(=O)O
C0000992,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
C0001040,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
C0001041,CC(=O)OCC[N+](C)(C)C
C0001047,CC(=O)N[C@@H](CS)C(=O)O
C0001056,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
C0001143,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@H]7CCC(=O)[C@@H](O7)C)O)N(C)C)O
C0001246,[Ac]
C0001268,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O
C0001367,C1=NC2=C(N1COCCO)N=C(NC2=O)N
C0001443,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C0001480,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
C0001814,C(CCN=C(N)N)CN
C0001888,CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C
C0001898,C[C@@H](C(=O)O)N
C0001911,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
C0001927,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
C0001962,CCO
C0001964,CCCO
C0002006,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O
C0002026,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
C0002059,CC(C(=O)N1CCCC1C(=O)NCC(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)O)N
C0002083,C1(C(=O)NC(=O)N1)NC(=O)N
C0002139,CC[C@@H](C)[C@@H](C(=O)O)N
C0002144,C1=NNC2=C1C(=O)NC=N2
C0002164,C=CCNC1=NC(=NC(=N1)N2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)NCC=C
C0002260,C(CC(C(F)F)(C(=O)O)N)CN
C0002333,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
C0002334,CC(C)NCC(COC1=CC=CC=C1CC=C)O
C0002335,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
C0002371,[OH-].[OH-].[OH-].[Al+3]
C0002374,[O-2].[O-2].[O-2].[Al+3].[Al+3]
C0002403,C1C2CC3CC1CC(C2)(C3)N
C0002412,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl
C0002421,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
C0002435,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N=CN3CCCCCC3)C(=O)O)C
